Date;Start;End;Worked;Titles
2025-09-15;14:00;18:03;3:30;Lecture 02
2025-09-21;08:40;09:00;0:30;Lecture 03
2025-09-22;09:00;16:07;5:00;Lecture 03 | Milestone 02
2025-09-24;10:53;11:51;1:00;Lecture 04
2025-09-25;10:57;15:38;2:45;Lecture 04 | code-along-04
2025-09-26;09:03;16:11;3:15;code-along-04
2025-09-29;13:22;19:28;2:30;Grade Milestone 01
2025-09-30;09:48;09:53;0:15;Grade Milestone 01
