Date;Start;End;Worked;Titles
2025-09-15;09:10;14:00;1:45;Lecture 03
2025-09-22;16:08;16:45;0:45;Lecture 03
2025-09-27;09:30;19:00;1:00;Lecture 04 | Lecture 05
2025-09-28;11:21;12:20;1:00;Lecture 04 | Lecture 05 | Lecture 06
2025-09-29;09:03;12:25;2:30;Lecture 06
2025-09-30;12:30;12:46;0:15;Lecture 05
