Date;Start;End;Worked;Titles
2025-11-03;11:27;13:59;1:00;Lecture 09
2025-11-07;14:23;17:30;3:00;Lecture 09
2025-11-08;08:44;09:00;0:30;Lecture 09
2025-11-09;09:00;10:36;1:30;Lecture 09 | Lecture 10
2025-11-12;13:26;15:30;1:30;Lecture 10
2025-11-24;11:11;21:33;2:30;Create final exam
