Date;Start;End;Worked;Titles
2025-10-02;14:23;16:04;1:30;Lecture 06
2025-10-03;11:00;15:19;2:30;Lecture 06 | Lecture 07
2025-10-06;11:17;14:22;2:45;Lecture 06 | Lecture 07
2025-10-13;13:31;21:33;3:30;Lecture 07 | Create mid-term
2025-10-15;09:09;13:00;2:45;Create mid-term
2025-10-16;09:26;10:20;1:00;Create mid-term
2025-10-20;16:55;18:12;1:00;Lecture 08
